49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
,"Detonators, electric, for blasting",1.1B,UN0030,II,1.1B,,"63(f), 63(g)",62,None,Forbidden,Forbidden,11,,,
,"Detonators, electric, for blasting",1.4B,UN0255,II,1.4B,103,"63(f), 63(g)",62,None,Forbidden,75 kg,6,,,
,"Detonators, electric for blasting",1.4S,UN0456,II,1.4S,,"63(f), 63(g)",62,None,25 kg,100 kg,5,,,
,Detonators for ammunition,1.1B,UN0073,II,1.1B,,None,62,None,Forbidden,Forbidden,11,,,
,Detonators for ammunition,1.2B,UN0364,II,1.2B,,None,62,None,Forbidden,Forbidden,11,,,
,Detonators for ammunition,1.4B,UN0365,II,1.4B,103,None,62,None,Forbidden,75 kg,6,,,
,Detonators for ammunition,1.4S,UN0366,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
,"Detonators, non-electric, for blasting",1.1B,UN0029,II,1.1B,,None,62,None,Forbidden,Forbidden,11,,,
,"Detonators, non-electric, for blasting",1.4B,UN0267,II,1.4B,103,"63(f), 63(g)",62,None,Forbidden,75 kg,6,,,
,"Detonators, non-electric,for blasting",1.4S,UN0455,II,1.4S,,"63(f), 63(g)",62,None,25 kg,100 kg,5,,,
,"Deuterium, compressed",2.1,UN1957,,2.1,N89,306,302,None,Forbidden,150 kg,E,40,,
,"Devices, small, hydrocarbon gas powered or Hydrocarbon gas refills for small devices with release device",2.1,UN3150,,2.1,,306,304,None,1 kg,15 kg,B,40,,
,Di-(1-hydroxytetrazole) (dry),Forbidden,,,,,,,,,,,,,
,Di-(1-naphthoyl) peroxide,Forbidden,,,,,,,,,,,,,
,"Di-2,4-dichlorobenzoyl peroxide, with > 75% with water",Forbidden,,,,,,,,,,,,,
,"Di-2-ethylhexyl phosphoric acid, see Diisooctyl acid phosphate",,,,,,,,,,,,,,
,"2,2-Di-(4,4-di-tert-butylperoxycyclohexyl) propane, with > 42% with inert solid",Forbidden,,,,,,,,,,,,,
,Diacetone alcohol,3,UN1148,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Diacetone alcohol,3,UN1148,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Diacetone alcohol peroxides, with > 57% in solution with > 9% hydrogen peroxide, < 26% diacetone alcohol and < 9% water; total active oxygen content > 9% by mass",Forbidden,,,,,,,,,,,,,
,"Diacetyl peroxide, solid, or with > 25% in solution",Forbidden,,,,,,,,,,,,,
,"Diacetyl, see Butanedione",,,,,,,,,,,,,,
,Diallylamine,3,UN2359,II,"3, 6.1, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,"21, 40, 100",,
,Diallylether,3,UN2360,II,"3, 6.1","IB2, N12, T7, TP1, TP13",150,202,243,1 L,60 L,E,40,,
,"4,4'-Diaminodiphenyl methane",6.1,UN2651,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,p-Diazidobenzene,Forbidden,,,,,,,,,,,,,
,"1,2-Diazidoethane",Forbidden,,,,,,,,,,,,,
,"1,1'-Diazoaminonaphthalene",Forbidden,,,,,,,,,,,,,
,Diazoaminotetrazole (dry),Forbidden,,,,,,,,,,,,,
,Diazodinitrophenol (dry),Forbidden,,,,,,,,,,,,,
,"Diazodinitrophenol, wetted with not < 40% water or mixture of alcohol and water, by mass",1.1A,UN0074,II,1.1A,"111, 117",None,62,None,Forbidden,Forbidden,12,,,
,Diazodiphenylmethane,Forbidden,,,,,,,,,,,,,
,Diazonium nitrates (dry),Forbidden,,,,,,,,,,,,,
,Diazonium perchlorates (dry),Forbidden,,,,,,,,,,,,,
,"1,3-Diazopropane",Forbidden,,,,,,,,,,,,,
,Dibenzyldichlorosilane,8,UN2434,II,8,"B2, IB2, T7, TP2, TP13",154,202,242,1 L,30 L,C,40,,
,"Dibenzyl peroxydicarbonate, with > 87% with water",Forbidden,,,,,,,,,,,,,
,Di-(beta-nitroxyethyl) ammonium nitrate,Forbidden,,,,,,,,,,,,,
,Diborane,2.3,UN1911,,"2.3, 2.1","1, N89",None,302,None,Forbidden,Forbidden,D,"40, 57",,
D ,Diborane mixtures,2.1,NA1911,,2.1,5,None,302,245,Forbidden,Forbidden,D,"40, 57",,
,Dibromoacetylene,Forbidden,,,,,,,,,,,,,
,"1,2-Dibromobutan-3-one",6.1,UN2648,II,6.1,IB2,153,202,243,5 L,60 L,B,40,,
,Dibromochloropropane,6.1,UN2872,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,,,
,Dibromochloropropane,6.1,UN2872,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
A ,"Dibromodifluoromethane, R12B2",9,UN1941,III,None,"T11, TP2",155,203,241,100 L,220 L,A,25,,
,"1,2-Dibromoethane, see Ethylene dibromide",,,,,,,,,,,,,,
,Dibromomethane,6.1,UN2664,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,Dibutylaminoethanol,6.1,UN2873,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,Dibutyl ethers,3,UN1149,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"N,N'-Dichlorazodicarbonamidine (salts of) (dry)",Forbidden,,,,,,,,,,,,,
,"1,2-Dichloro-1,1,2,2- tetrafluoroethane or Refrigerant gas R 114",2.2,UN1958,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,"1,1-Dichloro-1-nitroethane",6.1,UN2650,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,"12, 40, 74",,
D ,"3,5-Dichloro-2,4,6-trifluoropyridine",6.1,NA9264,I,6.1,"2, B9, B14, B32, B74, T20, TP4, TP12, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,A,40,,
,Dichloroacetic acid,8,UN1764,II,8,"A3, A6, A7, B2, IB2, N34, T8, TP2, TP12",154,202,242,1 L,30 L,A,,,
,"1,3-Dichloroacetone",6.1,UN2649,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,B,"12, 40",,
,Dichloroacetyl chloride,8,UN1765,II,8,"A3, A6, A7, B2, B6, IB2, N34, T7, TP2",154,202,242,1 L,30 L,D,40,,
,Dichloroacetylene,Forbidden,,,,,,,,,,,,,
+ ,"Dichloroanilines, liquid",6.1,UN1590,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,40,,
,"Dichloroanilines, solid",6.1,UN3442,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
+ ,o-Dichlorobenzene,6.1,UN1591,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,"2,2'-Dichlorodiethyl ether",6.1,UN1916,II,"6.1, 3","IB2, N33, N34, T7, TP2",153,202,243,5 L,60 L,A,,,
,Dichlorodifluoromethane and difluoroethane azeotropic mixture or Refrigerant gas R 500 with approximately 74% dichlorodifluoromethane,2.2,UN2602,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,Dichlorodifluoromethane or Refrigerant gas R 12,2.2,UN1028,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,"Dichlorodimethyl ether, symmetrical",6.1,UN2249,I,"6.1, 3",,None,201,243,Forbidden,Forbidden,,40,,
,"1,1-Dichloroethane",3,UN2362,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,40,,
,"1,2-Dichloroethane, see Ethylene dichloride",,,,,,,,,,,,,,
,"1,2-Dichloroethylene",3,UN1150,II,3,"IB2, T7, TP2",150,202,242,5 L,60 L,B,,,
,Dichloroethyl sulfide,Forbidden,,,,,,,,,,,,,
,Dichlorofluoromethane or Refrigerant gas R21,2.2,UN1029,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,"Dichloroisocyanuric acid, dry or Dichloroisocyanuric acid salts",5.1,UN2465,II,5.1,"28, IB8, IP4, T3, TP33",152,212,240,5 kg,25 kg,A,13,,
,Dichloroisopropyl ether,6.1,UN2490,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,B,,,
,Dichloromethane,6.1,UN1593,III,6.1,"IB3, IP8, N36, T7, TP2",153,203,241,60 L,220 L,A,,,
,Dichloropentanes,3,UN1152,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Dichlorophenyl isocyanates,6.1,UN2250,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,B,"25, 40, 48",,
,Dichlorophenyltrichlorosilane,8,UN1766,II,8,"A7, B2, B6, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,"1,2-Dichloropropane",3,UN1279,II,3,"IB2, N36, T4, TP1",150,202,242,5 L,60 L,B,,,
,"1,3-Dichloropropanol-2",6.1,UN2750,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,"12, 40",,
,"Dichloropropene and propylene dichloride mixture, see 1,2- Dichloropropane",,,,,,,,,,,,,,
,Dichloropropenes,3,UN2047,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Dichloropropenes,3,UN2047,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Dichlorosilane,2.3,UN2189,,"2.3, 2.1, 8","2, B9, B14",None,304,"314, 315",Forbidden,Forbidden,D,"17, 40",,
,Dichlorovinylchloroarsine,Forbidden,,,,,,,,,,,,,
,"Dicycloheptadiene, see Bicyclo 2,2,1 hepta-2,5-diene, stabilized",,,,,,,,,,,,,,
,Dicyclohexylamine,8,UN2565,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,Dicyclohexylammonium nitrite,4.1,UN2687,III,4.1,"IB8, IP3, T1, TP33",151,213,240,25 kg,100 kg,A,48,,
,Dicyclopentadiene,3,UN2048,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"1,2-Di-(dimethylamino)ethane",3,UN2372,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Didymium nitrate,5.1,UN1465,III,5.1,"A1, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
I ,Diesel fuel,3,UN1202,III,3,"144, B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
D ,Diesel fuel,3,NA1993,III,None,"144, B1, IB3, T4, TP1, TP29",150,203,242,60 L,220 L,A,,,
,Diethanol nitrosamine dinitrate (dry),Forbidden,,,,,,,,,,,,,
,Diethoxymethane,3,UN2373,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,,,
,"3,3-Diethoxypropene",3,UN2374,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,3-Diethyamino-propylamine.,3,UN2684,III,"3, 8","B1, IB3, T4, TP1",150,203,242,5 L,60 L,A,,,
,Diethylamine,3,UN1154,II,"3, 8","A3, IB2, N34, T7, TP1",150,202,243,1 L,5 L,E,40,,
,2-Diethylaminoethanol,8,UN2686,II,"8, 3","B2, IB2, T7, TP2",None,202,243,1 L,30 L,A,,,
+ ,"N, N-Diethylaniline",6.1,UN2432,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,Diethylbenzene,3,UN2049,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Diethyl carbonate,3,UN2366,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Diethyl cellosolve, see Ethylene glycol diethyl ether",,,,,,,,,,,,,,
,Diethyldichlorosilane,8,UN1767,II,"8, 3","A7, B6, IB2, N34, T7, TP2, TP13",None,202,243,Forbidden,30 L,C,40,,
,Diethylene glycol dinitrate,Forbidden,,,,,,,,,,,,,
,"Diethyleneglycol dinitrate, desensitized with not < 25% non-volatile water-insoluble phlegmatizer, by mass",1.1D,UN0075,II,1.1D,,None,62,None,Forbidden,Forbidden,13,21E,,
,Diethylenetriamine,8,UN2079,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,A,"40, 52",,
,Diethyl ether or Ethyl ether,3,UN1155,I,3,"T11, TP2",150,201,243,1 L,30 L,E,40,,
,"N,N-Diethylethylenediamine",8,UN2685,II,"8, 3","IB2, T7, TP2",None,202,243,1 L,30 L,A,,,
,Diethylgold bromide,Forbidden,,,,,,,,,,,,,
,Diethyl ketone,3,UN1156,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Diethyl peroxydicarbonate, with > 27% in solution",Forbidden,,,,,,,,,,,,,
,Diethyl sulfate,6.1,UN1594,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,C,,,
,Diethyl sulfide,3,UN2375,II,3,"IB2, T7, TP1, TP13",None,202,243,5 L,60 L,E,,,
,Diethylthiophosphoryl chloride,8,UN2751,II,8,"B2, IB2, T7, TP2",None,212,240,15 kg,50 kg,D,"12, 40",,
,Diethylzinc,4.2,UN1366,I,"4.2, 4.3","173, B11, T21, TP2, TP7",None,181,244,Forbidden,Forbidden,D,18,,
,"Difluorochloroethanes, see 1-Chloro-1,1-difluoroethanes",,,,,,,,,,,,,,
,"1,1-Difluoroethane or Refrigerant gas R 152a",2.1,UN1030,,2.1,T50,306,304,"314, 315",Forbidden,150 kg,B,40,,
,"1,1-Difluoroethylene or Refrigerant gas R 1132a",2.1,UN1959,,2.1,,306,304,None,Forbidden,150 kg,E,40,,
,Difluoromethane or Refrigerant gas R 32,2.1,UN3252,,2.1,T50,306,302,"314, 315",Forbidden,150 kg,D,40,,
,"Difluorophosphoric acid, anhydrous",8,UN1768,II,8,"A6, A7, B2, IB2, N5, N34, T8, TP2, TP12",None,202,242,1 L,30 L,A,40,,
,"2,3-Dihydropyran",3,UN2376,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"1,8-Dihydroxy-2,4,5,7-tetranitroanthraquinone (chrysamminic acid)",Forbidden,,,,,,,,,,,,,
,Diiodoacetylene,Forbidden,,,,,,,,,,,,,
,Diisobutylamine,3,UN2361,III,"3, 8","B1, IB3, T4, TP1",150,203,242,5 L,60 L,A,,,
,"Diisobutylene, isomeric compounds",3,UN2050,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Diisobutyl ketone,3,UN1157,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Diisooctyl acid phosphate,8,UN1902,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,Diisopropylamine,3,UN1158,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,,,
,"Diisopropylbenzene hydroperoxide, with > 72% in solution",Forbidden,,,,,,,,,,,,,
,Diisopropyl ether,3,UN1159,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,40,,
,"Diketene, stabilized",6.1,UN2521,I,"6.1, 3","2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,"26, 27, 40",,
,"1,2-Dimethoxyethane",3,UN2252,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"1,1-Dimethoxyethane",3,UN2377,II,3,"IB2, T7, TP1",150,202,242,5 L,60 L,B,,,
,"2,5-Dimethyl-2,5-dihydroperoxy hexane, with > 82% with water",Forbidden,,,,,,,,,,,,,
,"Dimethylamine, anhydrous",2.1,UN1032,,2.1,"N87, T50",None,304,"314, 315",Forbidden,150 kg,D,40,,
,Dimethylamine solution,3,UN1160,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,52,,
,2-Dimethylaminoacetonitrile,3,UN2378,II,"3, 6.1","IB2, T7, TP1",150,202,243,1 L,60 L,A,"40, 52",,
,2-Dimethylaminoethanol,8,UN2051,II,"8, 3","B2, IB2, T7, TP2",154,202,243,1 L,30 L,A,,,
,2-Dimethylaminoethyl acrylate,6.1,UN3302,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,D,25,,
,2-Dimethylaminoethyl methacrylate,6.1,UN2522,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,B,40,,
,"N,N-Dimethylaniline",6.1,UN2253,II,6.1,"IB1, T7, TP2",153,202,243,5 L,60 L,A,,,
,"2,3-Dimethylbutane",3,UN2457,II,3,"IB2, T7, TP1",150,202,242,5 L,60 L,E,,,
,"1,3-Dimethylbutylamine",3,UN2379,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,52,,
,Dimethylcarbamoyl chloride,8,UN2262,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,A,40,,
,Dimethyl carbonate,3,UN1161,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Dimethyl chlorothiophosphate, see Dimethyl thiophosphoryl chloride",,,,,,,,,,,,,,
,Dimethylcyclohexanes,3,UN2263,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"N,N-Dimethylcyclohexylamine",8,UN2264,II,"8, 3","B2, IB2, T7, TP2",154,202,243,1 L,30 L,A,40,,
,Dimethyldichlorosilane,3,UN1162,II,"3, 8","B77, IB2, T7, TP2, TP13",None,202,243,Forbidden,Forbidden,B,40,,
,Dimethyldiethoxysilane,3,UN2380,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Dimethyldioxanes,3,UN2707,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Dimethyldioxanes,3,UN2707,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Dimethyl disulfide,3,UN2381,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,40,,
,Dimethyl ether,2.1,UN1033,,2.1,T50,306,304,"314, 315",Forbidden,150 kg,B,40,,
,"N,N-Dimethylformamide",3,UN2265,III,3,"B1, IB3, T2, TP2",150,203,242,60 L,220 L,A,,,
,Dimethylhexane dihydroperoxide (dry),Forbidden,,,,,,,,,,,,,
,"Dimethylhydrazine, symmetrical",6.1,UN2382,I,"6.1, 3","2, B9, B14, B32, B74, B77, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,"40, 52, 74",,
,"Dimethylhydrazine, unsymmetrical",6.1,UN1163,I,"6.1, 3, 8","2, B7, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,"21, 38, 40, 52, 100",,
,Dimethyl-N-propylamine,3,UN2266,II,"3, 8","IB2, T7, TP2, TP13",150,202,243,1 L,5 L,B,40,,
,"2,2-Dimethylpropane",2.1,UN2044,,2.1,,306,304,"314, 315",Forbidden,150 kg,E,40,,
,Dimethyl sulfate,6.1,UN1595,I,"6.1, 8","2, B9, B14, B32, B74, B77, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,40,,
,Dimethyl sulfide,3,UN1164,II,3,"IB2, IP8, T7, TP2",150,202,242,5 L,60 L,E,40,,
,Dimethyl thiophosphoryl chloride,6.1,UN2267,II,"6.1, 8","IB2, T7, TP2",153,202,243,1 L,30 L,B,25,,
,Dimethylzinc,4.2,UN1370,I,"4.2, 4.3","173, B11, B16, T21, TP2, TP7",None,181,244,Forbidden,Forbidden,D,18,,
,Di-n-amylamine,3,UN2841,III,"3, 6.1","B1, IB3, T4, TP1",150,203,242,60 L,220 L,A,,,
,Di-n-butylamine,8,UN2248,II,"8, 3","IB2, T7, TP2",None,202,243,1 L,30 L,A,,,
,"Di-n-butyl peroxydicarbonate, with > 52% in solution",Forbidden,,,,,,,,,,,,,
,"1,4-Dinitro-1,1,4,4-tetramethylolbutanetetranitrate (dry)",Forbidden,,,,,,,,,,,,,
,"2,4-Dinitro-1,3,5-trimethylbenzene",Forbidden,,,,,,,,,,,,,
,"1,3-Dinitro-4,5-dinitrosobenzene",Forbidden,,,,,,,,,,,,,
,"1,3-Dinitro-5,5-dimethyl hydantoin",Forbidden,,,,,,,,,,,,,
,"Dinitro-7,8-dimethylglycoluril (dry)",Forbidden,,,,,,,,,,,,,
,Dinitroanilines,6.1,UN1596,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,91,,
,"Dinitrobenzenes, liquid",6.1,UN1597,II,6.1,"11, IB2, T7, TP2",153,202,243,5 L,60 L,A,91,,
,"Dinitrobenzenes, liquid",6.1,UN1597,III,6.1,"11, IB3, T7, TP2",153,203,241,60 L,220 L,A,91,,
,"Dinitrobenzenes, solid",6.1,UN3443,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,91,,
,"Dinitrochlorobenzene, see Chlorodinitrobenzene",,,,,,,,,,,,,,
,"1,2-Dinitroethane",Forbidden,,,,,,,,,,,,,
,"1,1-Dinitroethane (dry)",Forbidden,,,,,,,,,,,,,
,Dinitrogen tetroxide,2.3,UN1067,,"2.3, 5.1, 8","1, B7, B14, B45, B46, B61, B66, B67, B77, T50, TP21",None,336,314,Forbidden,Forbidden,D,"40, 89, 90",,
,Dinitroglycoluril or Dingu,1.1D,UN0489,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,Dinitromethane,Forbidden,,,,,,,,,,,,,
,Dinitro-o-cresol,6.1,UN1598,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Dinitrophenolates alkali metals, dry or wetted with < 15% water, by mass",1.3C,UN0077,II,"1.3C, 6.1",,None,62,None,Forbidden,Forbidden,10,5E,,
,"Dinitrophenolates, wetted with not < 15% water, by mass",4.1,UN1321,I,"4.1, 6.1","23, A8, A19, A20, N41",None,211,None,1 kg,15 kg,E,"28, 36",,
,"Dinitrophenol, dry or wetted with < 15% water, by mass",1.1D,UN0076,II,"1.1D, 6.1",,None,62,None,Forbidden,Forbidden,10,5E,,
,Dinitrophenol solutions,6.1,UN1599,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,36,,
,Dinitrophenol solutions,6.1,UN1599,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,36,,
,"Dinitrophenol, wetted with not < 15% water, by mass",4.1,UN1320,I,"4.1, 6.1","23, A8, A19, A20, N41",None,211,None,1 kg,15 kg,E,"28, 36",,
,Dinitropropylene glycol,Forbidden,,,,,,,,,,,,,
,"Dinitroresorcinol, dry or wetted with < 15% water, by mass",1.1D,UN0078,II,1.1D,,None,62,None,Forbidden,Forbidden,10,5E,,
,"2,4-Dinitroresorcinol (heavy metal salts of) (dry)",Forbidden,,,,,,,,,,,,,
,"4,6-Dinitroresorcinol (heavy metal salts of) (dry)",Forbidden,,,,,,,,,,,,,
,"Dinitroresorcinol, wetted with not < 15% water, by mass",4.1,UN1322,I,4.1,"23, A8, A19, A20, N41",None,211,None,1 kg,15 kg,E,"28, 36",,
,"3,5-Dinitrosalicylic acid (lead salt) (dry)",Forbidden,,,,,,,,,,,,,
,Dinitrosobenzene,1.3C,UN0406,II,1.3C,,None,62,None,Forbidden,Forbidden,10,,,
,Dinitrosobenzylamidine and salts of (dry),Forbidden,,,,,,,,,,,,,
,"2,2-Dinitrostilbene",Forbidden,,,,,,,,,,,,,
,"Dinitrotoluenes, liquid",6.1,UN2038,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,,,
,"Dinitrotoluenes, molten",6.1,UN1600,II,6.1,"T7, TP3",None,202,243,Forbidden,Forbidden,C,,,
,"Dinitrotoluenes, solid",6.1,UN3454,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"a,a'-Di-(nitroxy) methylether",Forbidden,,,,,,,,,,,,,
,"1,9-Dinitroxy pentamethylene-2,4, 6,8-tetramine (dry)",Forbidden,,,,,,,,,,,,,
,Di-n-propyl ether,3,UN2384,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Dioxane,3,UN1165,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Dioxolane,3,UN1166,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,40,,
,Dipentene,3,UN2052,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Diphenylamine chloroarsine,6.1,UN1698,I,6.1,"T6, TP33",None,201,None,Forbidden,Forbidden,D,40,,
,"Diphenylchloroarsine, liquid",6.1,UN1699,I,6.1,"A8, B14, B32, N33, N34, T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,D,40,,
,"Diphenylchloroarsine, solid",6.1,UN3450,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,D,40,,
,Diphenyldichlorosilane,8,UN1769,II,8,"A7, B2, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,Diphenylmethyl bromide,8,UN1770,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,D,40,,
,"Dipicrylamine, see Hexanitrodiphenylamine",,,,,,,,,,,,,,
,"Dipicryl sulfide, dry or wetted with < 10% water, by mass",1.1D,UN0401,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,"Dipicryl sulfide, wetted with not < 10% water, by mass",4.1,UN2852,I,4.1,"162, A2, N41, N84",None,211,None,Forbidden,0.5 kg,D,28,,
,"Dipropionyl peroxide, with > 28% in solution",Forbidden,,,,,,,,,,,,,
,Dipropylamine,3,UN2383,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,,,
,Dipropyl ketone,3,UN2710,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
G ,"Disinfectant, liquid, corrosive, n.o.s.",8,UN1903,I,8,"A6, A7, B10, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,B,,,
G ,"Disinfectants, liquid, corrosive n.o.s.",8,UN1903,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,B,,,
G ,"Disinfectants, liquid, corrosive n.o.s.",8,UN1903,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
G ,"Disinfectants, liquid, toxic, n.o.s.",6.1,UN3142,I,6.1,"A4, T14, TP2, TP27",None,201,243,1 L,30 L,A,40,,
G ,"Disinfectants, liquid, toxic, n.o.s.",6.1,UN3142,II,6.1,"IB2, T11, TP2, TP27",153,202,243,5 L,60 L,A,40,,
G ,"Disinfectants, liquid, toxic, n.o.s.",6.1,UN3142,III,6.1,"IB3, T7, TP1, TP28",153,203,241,60 L,220 L,A,40,,
G ,"Disinfectants, solid, toxic, n.o.s.",6.1,UN1601,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
G ,"Disinfectants, solid, toxic, n.o.s.",6.1,UN1601,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
G ,"Disinfectants, solid, toxic, n.o.s.",6.1,UN1601,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,40,,
,Disodium trioxosilicate,8,UN3253,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,52,,
G ,"Dispersant gases, n.o.s. see Refrigerant gases, n.o.s.",,,,,,,,,,,,,,
,"2,2-Di-(tert-butylperoxy) butane, with > 55% in solution",Forbidden,,,,,,,,,,,,,
,"Di-(tert-butylperoxy) phthalate, with > 55% in solution",Forbidden,,,,,,,,,,,,,
,"Divinyl ether, stabilized",3,UN1167,I,3,"A7, T11, TP2",None,201,243,1 L,30 L,E,40,,
,Dodecyltrichlorosilane,8,UN1771,II,8,"A7, B2, B6, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,"Dry ice, see Carbon dioxide, solid",,,,,,,,,,,,,,
